,,,,,"Printed on Thursday, May 1, 2025 11:31:04AM",,,1/ 1
Management Summary
"Wednesday, April 30, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,"As of Wednesday, April 30, 2025"
From,Apr-30-2025,Apr-01-2025,Jan-01-2025,Occupancy,Units,%Units,Area,%Area
To,Apr-30-2025,Apr-30-2025,Apr-30-2025,Occupied,181,74.50%,"29,268",80.70%
Deposits,,,,Vacant*,55,22.60%,"6,197",17,%
Cash,0.00,0.00,"2,550.00",Unrentable,7,2.90%,785,2.2,%
Check,0,0,0,Complimentary,0,,0
ACH Debit,0,"9,718.50","38,537.50",Total,243,100.00%,"36,249",100.00%
Debit Card,0,0,0
Charge Card,501,"20,205.02","74,014.11",Waiting List,1,Autobilled**,148
SubTotal,501.00,"29,923.52",#######,Overlocked**,4,Insurance**,0,Per Area
Misc Deposit,0,0,0,Gross Potential Rates,1,,"36,209",100.00%,,1
Total,501.00,"29,923.52",#######,Gross Unrentable Unit Rates,,,765,2.10%,,0.97
Payment Receipts,,,,Gross Vacant Unit Rates,,,"6,314",17.40%,,1.02
,,,,Gross Occupied Unit Rates,,,"29,130",80.40%,,1
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,0,0.00%,,0
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"29,001",80.10%,,0.99
Rent,417.00,"26,692.47",#######,Occupied Rate Variance,,,130,0.40%,,0
Recurring,39.00,"1,675.50","6,870.22",,,3
,,,,Effective Rate after Concessions,,,"27,131",74.90%,,0.93
Late Fee,0,135.15,"1,941.85"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,25,550,"1,525.00",Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,0,12,0-10,180.00,0,0,0.5,,0.6
Other,20.00,870.40,"4,747.78",11-30,"1,926.95",6,3.3,5.3,,6.6
Misc Deposit,0,0,0,31-60,914.15,2,1.1,2.5,,3.2
Security Deposit,0,0,0,61-90,538.65,1,0.6,1.5,,1.9
Merchandise,0,0,0,91-120,420.65,0,0,1.2,,1.5
Tax 1,0,0,0,121-180,750.5,0,0,2.1,,2.6
Tax 2,0,0,0,181-360,535,1,0.6,1.5,,1.8
Total,501.00,"29,923.52",#######,>360,0,0,0,0,,0
,,,,Total,"5,265.90",10,5.5,14.5,,18.1
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,411.5,"1,246.71"
Current Rent,5.50,"25,415.76",,Rent,"1,413.00",4,2.2,3.9,,4.9
Past Due Rent,0,30,,Other,"1,745.95"
,,,,Taxes,0
Total,417.00,"26,692.47"
,,,,Total,"3,158.95"
Current Late Fee,0,120.15,,Liabilities,,Units,Amount
Past Due Late Fee,0,15,,Prepaid Rent,,15,905.55
Total,0,135.15,,Prepaid Insurance,,0,0
,,,,Prepaid Recurring Charges,,12,125.81
NSF Reversals,0,0,0,Security Deposits (Cash),,2,"10,000.00"
,0,108.34,166.34
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,170,,,< 0%,64
Rent,0,76,285.79,6 - 12 Months,9,,,0 - 15%,83
Rent (Bad Debt),0,0,0,12 - 18 Months,2,,,15 - 30%,11
Late Fees,0,46.35,106.95,18 - 24 Months,0,,,30 - 50%,18
Taxes,0,0,0,> 24 Months,0,,,> 50%,5
Other,0,48,489.86,Total,181,,,Total,181
Total,0,170.35,882.6
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0.00,"1,794.00","6,028.00",Standard rates unchanged > 360 days,,,17,Occupied,181
Rent (Non-Expiring),0,0,83.5,Tenants rates unchanged > 360 days,,,2,Insurance,0,0%
,,,,Days with payments and no daily close,,,0,ACH Billed,4,2%
Bad Debts,0,794.84,"6,877.84",Backdated payments,,,0
,,,,,,,,Credit Card,105,58%
Activity,,,,Backdated charges,,,0,Paid Online,42,23%
,,,,Deleted payments,,,0
Move-Ins,2,22,66
Insurance,0,0,0,Deleted charges,,,9
Move-Outs,2,16,53,Deleted units,,,1,Insurance
Transfers,0,1,2,Unit size changes,,,0,Premiums,,0
Rented Area Increase,40,815,"1,790",Program defaults changes,,,0,Coverage,,0
Collection Notes,0,55,255,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,1,12,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,0,16,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,1,11,31,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,1,10,21,,- Expiring Discounts
Leads Converted,2,20,62,,(4) Leads Converted is a count of unique tenant move-ins
