

,,,,,"Printed on Friday, December 19, 2025 11:08:41AM",,,1/ 1
Management Summary
"Friday, December 19, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,,"As of Friday, December 19, 2025"
From,Dec-19-2025,Dec-01-2025,Jan-01-2025,Occupancy,,Units,%Units,Area,%Area
To,Dec-19-2025,Dec-19-2025,Dec-19-2025,Occupied,,224,67.10%,"27,379",61.80%
Deposits,,,,Vacant*,,56,16.80%,"12,815",29,%
Cash,0,0,"-5,550.00",Unrentable,,54,16.20%,"4,100",9,%
Check,0,0,0,Complimentary,,1,,100
ACH Debit,0,"5,046.50","107,372.76",Total,,334,100.00%,"44,294",100.00%
Debit Card,0,0,0
Charge Card,0,"21,087.35","250,338.40",Waiting List,5,Autobilled**,191
SubTotal,0,"26,133.85","352,161.16",Overlocked**,0,Insurance**,0,Per Area
Misc Deposit,0,0,"-9,700.00",Gross Potential Rates,1,,"39,513",100.00%,,0.89
Total,0,"26,133.85","342,461.16",Gross Unrentable Unit Rates,,,"3,699",9.40%,,0.9
Payment Receipts,,,,Gross Vacant Unit Rates,,,"10,745",27.20%,,0.84
,,,,Gross Occupied Unit Rates,,,"25,069",63.40%,,0.92
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,75,0.20%,,0.75
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"26,451",66.90%,,0.97
Rent,0,"22,442.49","307,611.61",Occupied Rate Variance,,,"-1,382",-3.50%,,-0.05
Recurring,0,"2,106.38","23,269.84",,,3
,,,,Effective Rate after Concessions,,,"24,774",62.70%,,0.9
Late Fee,0,222.9,"5,556.20"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,0,200,"5,250.00",Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,0,12,0-10,0.00,0,0,0,,0
Other,0,"1,162.08","13,486.51",11-30,"3,804.60",10,4.5,9.6,,14.4
Misc Deposit,0,0,"-9,700.00",31-60,"1,895.10",3,1.3,4.8,,7.2
Security Deposit,0,0,"6,675.00",61-90,"1,511.10",2,0.9,3.8,,5.7
Merchandise,0,0,0,91-120,749,2,0.9,1.9,,2.8
Tax 1,0,0,0,121-180,183,1,0.4,0.5,,0.7
Tax 2,0,0,0,181-360,0,0,0,0,,0
Total,0,"26,133.85","352,161.16",>360,0,0,0,0,,0
,,,,Total,"8,142.80",18,8,20.6,,30.8
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,0,0
Current Rent,0,"21,999.49",,Rent,"2,206.00",7,3.1,5.6,,8.3
Past Due Rent,0,443,,Other,"2,132.20"
,,,,Taxes,0
Total,0,"22,442.49"
,,,,Total,"4,338.20"
Current Late Fee,0,154.2,,Liabilities,,Units,Amount
Past Due Late Fee,0,68.7,,Prepaid Rent,,1,21.29
Total,0,222.9,,Prepaid Insurance,,0,0
,,,,Prepaid Recurring Charges,,0,0
NSF Reversals,0,0,3,Security Deposits (Cash),,6,"6,675.00"
,0,0,"10,862.34"
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,132,,,< 0%,90
Rent,23.23,108.23,"4,196.32",6 - 12 Months,81,,,0 - 15%,123
Rent (Bad Debt),0,0,0,12 - 18 Months,7,,,15 - 30%,8
Late Fees,0,311.2,"1,614.70",18 - 24 Months,4,,,30 - 50%,1
Taxes,0,0,0,> 24 Months,0,,,> 50%,2
Other,7.75,110.75,"1,910.32",Total,224,,,Total,224
Total,30.98,530.18,"7,721.34"
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0,"1,568.00","23,869.41",Standard rates unchanged > 360 days,,,14,Occupied,224
Rent (Non-Expiring),0,75,462.5,Tenants rates unchanged > 360 days,,,11,Insurance,0,0%
,,,,Days with payments and no daily close,,,1,ACH Billed,2,1%
Bad Debts,"1,091.02","1,205.02","24,582.34",Backdated payments,,,0
,,,,,,,,Credit Card,153,68%
Activity,,,,Backdated charges,,,1,Paid Online,24,11%
,,,,Deleted payments,,,0
Move-Ins,0,4,216
Insurance,0,0,0,Deleted charges,,,0
Move-Outs,3,5,160,Deleted units,,,0,Insurance
Transfers,0,2,28,Unit size changes,,,0,Premiums,,0
Rented Area Increase,-180,10,23,Program defaults changes,,,0,Coverage,,0
Collection Notes,0,35,561,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,1,37,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,6,51,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,0,1,115,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,0,0,67,,- Expiring Discounts
Leads Converted,0,4,199,,(4) Leads Converted is a count of unique tenant move-ins
