,,,,"Printed on Monday, June 2, 2025",,9:20:14 AM,,,1/ 1
Management Summary
"Saturday, May 31, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,"As of Saturday, May 31, 2025"
From,May-31-2025,May-01-2025,Jan-01-2025,Occupancy,Units,%Units,Area,%Area
To,May-31-2025,May-31-2025,May-31-2025,Occupied,190,69.60%,"30,723",77.40%
Deposits,,,,Vacant*,79,28.90%,"8,672",22,%
Cash,0,0,"2,550.00",Unrentable,4,1.50%,305,0.8,%
Check,0,0,0,Complimentary,0,,0
ACH Debit,0,"9,718.50","48,256.00",Total,273,100.00%,"39,699",100.00%
Debit Card,0,0,0
Charge Card,346,"19,736.33","93,750.44",Waiting List,1,Autobilled**,,152
SubTotal,346,"29,454.83",#######,Overlocked**,9,Insurance**,,0,Per Area
Misc Deposit,0,0,0,Gross Potential Rates,1,,"39,070",100.00%,,0.98
Total,346,"29,454.83",#######,Gross Unrentable Unit Rates,,,314,0.80%,,1.03
Payment Receipts,,,,Gross Vacant Unit Rates,,,"8,125",20.80%,,0.94
,,,,Gross Occupied Unit Rates,,,"30,631",78.40%,,1
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,0,0.00%,,0
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"29,926",76.60%,,0.97
Rent,306.00,"26,293.02",#######,Occupied Rate Variance,,,706,1.80%,,0.02
Recurring,30.00,"1,589.49","8,459.71",,,3
,,,,Effective Rate after Concessions,,,"27,145",69.50%,,0.88
Late Fee,0,162.6,"2,104.45"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,0,550,"2,075.00",Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,0,12,0-10,60.00,0,0,0.2,,0.2
Other,10,859.72,"5,607.50",11-30,"2,966.45",2,1.1,7.6,,9.9
Misc Deposit,0,0,0,31-60,"1,876.45",6,3.2,4.8,,6.3
Security Deposit,0,0,0,61-90,441.65,0,0,1.1,,1.5
Merchandise,0,0,0,91-120,913.65,2,1.1,2.3,,3.1
Tax 1,0,0,0,121-180,605.4,0,0,1.5,,2
Tax 2,0,0,0,181-360,"1,100.75",1,0.5,2.8,,3.7
Total,346.00,"29,454.83",#######,>360,0,0,0,0,,0
,,,,Total,"7,964.35",11,5.8,20.4,,26.6
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,306,"1,408.73"
Current Rent,0.00,"24,884.29",,Rent,"2,264.50",9,4.7,5.8,,7.6
Past Due Rent,0,0,,Other,"2,673.40"
,,,,Taxes,0
Total,306.00,"26,293.02"
,,,,Total,"4,937.90"
Current Late Fee,0,162.6,,Liabilities,,Units,Amount
Past Due Late Fee,0,0,,Prepaid Rent,,13,"1,134.70"
Total,0,162.6,,Prepaid Insurance,,0,0
,,,,Prepaid Recurring Charges,,12,130.1
NSF Reversals,0,0,0,Security Deposits (Cash),,2,"10,000.00"
,0,0,166.34
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,160,,,< 0%,84
Rent,0,113.28,399.07,6 - 12 Months,26,,,0 - 15%,59
Rent (Bad Debt),0,0,0,12 - 18 Months,4,,,15 - 30%,29
Late Fees,0,45,151.95,18 - 24 Months,0,,,30 - 50%,12
Taxes,0,0,0,> 24 Months,0,,,> 50%,6
Other,0,50.29,540.15,Total,190,,,Total,190
Total,0,208.57,"1,091.17"
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0.00,"2,667.31","8,695.31",Standard rates unchanged > 360 days,,,6,Occupied,190
Rent (Non-Expiring),0,10,93.5,Tenants rates unchanged > 360 days,,,4,Insurance,0,0%
,,,,Days with payments and no daily close,,,0,ACH Billed,4,2%
Bad Debts,0,596,"7,473.84",Backdated payments,,,0
,,,,,,,,Credit Card,109,57%
Activity,,,,Backdated charges,,,0,Paid Online,53,28%
,,,,Deleted payments,,,0
Move-Ins,0,22,88
Insurance,0,0,0,Deleted charges,,,4
Move-Outs,3,11,66,Deleted units,,,3,Insurance
Transfers,0,1,3,Unit size changes,,,9,Premiums,,0
Rented Area Increase,-260,"1,725","3,245",Program defaults changes,,,0,Coverage,,0
Collection Notes,0,56,311,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,0,12,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,1,17,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,0,20,51,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,0,4,25,,- Expiring Discounts
Leads Converted,0,21,81,,(4) Leads Converted is a count of unique tenant move-ins
