,RETHINK SALES/REVENUE,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,RETHINK SALES/REVENUE,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
,HAMSHIRE,"$12,533","$9,908","$8,587","$13,346","$10,114","$10,974","$11,074 ","$11,404","$10,153","$11,255","$12,005","$12,868",,HAMSHIRE,"$15,305","$15,730","$17,072","$15,128","$15,504","$15,089","$15,254","$16,075","$15,478","$16,030","$16,685","$13,298",,Rethink-selfstorage.com/Mtholly
,MT HOLLY,$0,$0,$0,"$8,969","$6,751","$10,105","$12,903 ","$15,549 ","$18,162 ","$22,179","$23,214","$25,823",,MT HOLLY,"$26,879","$27,027","$31,272","$29,924","$29,455","$32,094","$31,112 ","$33,095 ","$15,731.18 ","$31,395","$28,212","$26,134",,Rethink-selfstorage.com/hamshire
,TOTAL,"$12,533","$9,908","$8,587","$22,314","$16,865","$21,079","$23,977 ","$26,953","$28,316","$33,434","$35,218","$38,692",,TOTAL,"$42,184","$42,757","$48,344","$45,051","$44,959","$47,183","$46,366","$49,170","$31,209","$47,425","$44,897","$39,432"

,OCCUPANCY,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,OCCUPANCY,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
,HAMSHIRE,54%,55%,52%,53%,53%,55%,61%,65%,68%,78.72%,83%,85%,,HAMSHIRE,83%,87%,82%,82%,81%,81%,66%,70%,70%,72.16%,73%,74%
,MT HOLLY,0%,1%,9%,16%,33%,25%,36%,45%,48%,51%,54%,54%,,MT HOLLY,56%,55%,57%,59%,62%,62%,65%,70%,0%,72%,74%,74%

,OCCUPIED UNITS,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,,OCCUPIED UNITS,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
,HAMSHIRE,87,88,82,83,79,83,89,95,99,111,117,121,,HAMSHIRE,121,126,120,119,120,121,125,133,135,140,141,144
,MT HOLLY,0,1,11,19,39,76,109,139,147,155,164,164,,MT HOLLY,171,168,175,181,190,190,199,213,217,220,226,224

