

#N/A

,,,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,,,"SHEM, you can use this for your updates - this is linked to the dashboard on the left"
,,,Dec,Jan,Feb,Mar,Apr,May,June,July,August,September,October,November,December,,,HAMSHIRE
,6,Total Units Available,164,160,160,157,157,144,150,146,142,143,141,139,138,160,,Performance as of :,12/22/2025
,,Total Units Rented,91,87,88,82,83,79,83,89,95,99,111,117,121,142,,Total Units Rented,121
,11,Total Vacant Units,16,35,52,65,66,65,57,57,43,38,30,22,17,,,Total Unit Occupancy %,85%
,9,Total Unit Occupancy %,55%,54%,55%,52%,53%,53%,55%,61%,65%,68%,79%,83%,85%,0.8875,,Move Ins,9
,34,Total Unrentables,57,38,20,10,6,5,6,4,4,6,2,2,2,,,Move Outs,4
,,Total Occupancy Sq Ft %,57%,58%,59%,56%,56%,50%,48%,54%,54%,57%,63%,64%,69%,,,Net Moves,5
,10,Move Ins,4,6,6,7,7,12,13,15,15,10,19,10,9,,,A/R % of Units Past Due,5%
,12,Move Outs,3,9,3,11,6,16,8,2,9,6,6,4,4
,,Net Moves,1,-3,3,-4,1,-4,5,2,6,4,13,6,5
,21
,33,Unit Rent Total,"$10,969 ","$10,519","$10,604","$9,766","$10,831","$10,490","$9,236","$9,626","$9,622","$8,705","$9,865","$10,390","$11,166"
,,Rent per sq.ft.,$0.62 ,$0.58 ,$0.57 ,$0.56 ,$0.62 ,$0.00 ,$0.00 ,$0.00 ,$0.57 ,$0.49 ,$0.50 ,$0.52 ,$0.52 
,,Total Revenue,$0 ,"$12,533","$9,908","$8,587","$13,346","$10,114","$10,974","$11,074 ","$11,404","$10,153","$11,255","$12,005","$12,868"
,,Discounts/Credits/Waived Fees,$105 ,$868,$847,"$1,475","$1,584","$2,494","$3,499","$2,269 ","$3,341","$2,848","$2,601","$2,524","$2,116"
,,Receipts Collected,$0 ,"$12,533","$9,908","$8,587","$9,792","$10,214","$11,074","$11,074 ","$11,304","$9,953","$11,315","$12,005","$12,868"
,28
,33,Tenant Insurance Penetration %,37%,38%,49%,54%,93%,90%,90%,90%,80%,76%,73%,73%,66%
,20,AutoPay Penetration %,0%,46%,48%,54%,53%,54%,55%,55%,71%,78%,78%,77%,77%
,,A/R % of Units Past Due,10%,9%,8%,10%,5%,5%,29528%,0%,6%,0%,7%,7%,5%


















,,Monthly maintenance checklist
,,Lawn,,,Oct 6
,,Weeds
,,Bugs / Anthill (specially in 88A)
,,Bathrooms
,,Floors
,,Walk through (report maintenance requirements)
,,Mice  (specially in 39A),,,We need to get Rat Packs (works until they chewed up). $150 
,,Are we paying our monthly referral
,,Find the thermostat and asking him the temperature in this place
,,134A check lock area”gouges”


,,HIGHLIGHTS,,,LOWLIGHTS
,,September
,,Highest occupancy - 100 tenant milestone,,,3 moveins were only for 1 month(hurricane)
,,4.5x movein moveout ratio
,,1 new customer from campaign sign
,,75% autopay penetration
,,43 promos in the last 3 months slowly rolling off to double revenues


,,October
,,100 customer milestone
,,Hampshire most move-in and net move-in probably since inception… We are seeing July 15 move-in largely stay with more promos rolling off… We ordered a larger billboard
,,We installed a billboard 2x the size of the last billboard
,,we putup a new sign in front of the facility
,,Google ads significantly reduced by 66% (seasonality shift)
,,"3 5star reviews, a few existing customers adding storage units shows that they are happy with our work"

,,"Next month - SEO, expecting + results due to billboard signs"
,,Building more enhanced digital marketing efforts in FB and Next Door
,,Drone footage

,,November
,,SEO
,,We received formal quotes for building in Hamshire Texas.  Concrete and Gravel estimates next month.
,,Building more enhanced digital marketing efforts in FB and Next Door
,,"Turning off Google Ads, as we are slower season, saving money."
,,We are 100% occupied for 10x20 units and 90% full on 10x10 units :)
,,"Next month we will be putting in an order to convert Boat and RV spots into Flex Space 15x50, to see if we can get something more significant, doubling the rents."


,,December
,,"SEO - show october rankings, november rankings and december rankings (screen shots)"
,,Put in order for flex units
,,Tax reassessed from $2.4M to $1.504365 - a 38% reducton in taxes
