

,,,,"Printed on Sunday, November 2, 2025",,,6:42:29 AM,,1/ 1
Management Summary
"Friday, October 31, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,,"As of Friday, October 31, 2025"
From,Oct-31-2025,Oct-01-2025,Jan-01-2025,Occupancy,,Units,%Units,Area,%Area
To,Oct-31-2025,Oct-31-2025,Oct-31-2025,Occupied,,220,77.50%,"23,759",58.50%
Deposits,,,,Vacant*,,61,21.50%,"16,585",41,%
Cash,0,0,"-5,550.00",Unrentable,,3,1.10%,240,0.6,%
Check,0,0,0,Complimentary,,1,,100
ACH Debit,0,"8,434.26","97,279.76",Total,,284,100.00%,"40,584",100.00%
Debit Card,0,0,0
Charge Card,471,"22,961.14",#######,Waiting List,1,Autobilled**,,185
SubTotal,471,"31,395.40",#######,Overlocked**,0,Insurance**,,0,Per Area
Misc Deposit,0,0,"-9,700.00",Gross Potential Rates,1,,"36,167",100.00%,,0.89
Total,471,"31,395.40",#######,Gross Unrentable Unit Rates,,,229,0.60%,,0.95
Payment Receipts,,,,Gross Vacant Unit Rates,,,"14,005",38.70%,,0.84
,,,,Gross Occupied Unit Rates,,,"21,933",60.60%,,0.92
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,75,0.20%,,0.75
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"23,238",64.30%,,0.98
Rent,398,"20,733.69",#######,Occupied Rate Variance,,,"-1,305",-3.60%,,-0.06
Recurring,26,"2,216.58","18,845.43",,,3
,,,,Effective Rate after Concessions,,,"21,021",58.10%,,0.88
Late Fee,0,270.15,"4,930.30"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,25,350,"4,575.00",Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,0,12,0-10,90.00,0,0,0.2,,0.4
Other,22,"1,189.98","11,090.91",11-30,"2,211.63",4,1.8,6.1,,9.5
Misc Deposit,0,0,"-9,700.00",31-60,"1,533.00",3,1.4,4.2,,6.6
Security Deposit,0,"6,635.00","6,665.00",61-90,368,0,0,1,,1.6
Merchandise,0,0,0,91-120,907,1,0.5,2.5,,3.9
Tax 1,0,0,0,121-180,500,2,0.9,1.4,,2.2
Tax 2,0,0,0,181-360,0,0,0,0,,0
Total,471,"31,395.40",#######,>360,0,0,0,0,,0
,,,,Total,"5,609.63",10,4.5,15.5,,24.1
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,398,"1,124.74"
Current Rent,0,"19,409.95",,Rent,"1,593.50",5,2.3,4.4,,6.9
Past Due Rent,0,199,,Other,"1,714.50"
,,,,Taxes,0
Total,398,"20,733.69"
,,,,Total,"3,308.00"
Current Late Fee,0,229.8,,Liabilities,,Units,Amount
Past Due Late Fee,0,40.35,,Prepaid Rent,,12,"1,132.00"
Total,0,270.15,,Prepaid Insurance,,0,0
,,,,Prepaid Recurring Charges,,5,69
NSF Reversals,0,0,3,Security Deposits (Cash),,5,"6,665.00"
,0,0,"10,783.14"
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,136,,,< 0%,93
Rent,0,202.5,"3,955.92",6 - 12 Months,80,,,0 - 15%,114
Rent (Bad Debt),0,0,0,12 - 18 Months,2,,,15 - 30%,9
Late Fees,0,20.25,"1,083.50",18 - 24 Months,2,,,30 - 50%,2
Taxes,0,0,0,> 24 Months,0,,,> 50%,2
Other,0,318,"1,599.84",Total,220,,,Total,220
Total,0,540.75,"6,639.26"
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0,"2,015.00","20,570.41",Standard rates unchanged > 360 days,,,14,Occupied,220
Rent (Non-Expiring),0,75,309.5,Tenants rates unchanged > 360 days,,,4,Insurance,0,0%
,,,,Days with payments and no daily close,,,0,ACH Billed,1,0%
Bad Debts,0,0,"19,623.52",Backdated payments,,,0
,,,,,,,,Credit Card,142,65%
Activity,,,,Backdated charges,,,0,Paid Online,43,20%
,,,,Deleted payments,,,1
Move-Ins,0,13,192
Insurance,0,0,0,Deleted charges,,,4
Move-Outs,2,9,140,Deleted units,,,0,Insurance
Transfers,0,4,26,Unit size changes,,,1,Premiums,,0
Rented Area Increase,-180,475,"-3,678",Program defaults changes,,,0,Coverage,,0
Collection Notes,0,32,496,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,1,33,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,2,42,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,1,9,102,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,0,2,59,,- Expiring Discounts
Leads Converted,0,13,178,,(4) Leads Converted is a count of unique tenant move-ins
