,,,,"Printed on Saturday, March 1, 2025",,,5:17:43 AM,,1/ 1
Management Summary
"Friday, February 28, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,,"As of Friday, February 28, 2025"
From,Feb-28-2025,Feb-01-2025,Jan-01-2025,Occupancy,,Units,%Units,Area,%Area
To,Feb-28-2025,Feb-28-2025,Feb-28-2025,Occupied,,168,68.90%,"27,623",73.70%
Deposits,,,,Vacant*,,71,29.10%,"9,257",24.7,%
Cash,0,0,0,Unrentable,,5,2.00%,610,1.6,%
Check,0,0,0,Complimentary,,0,,0
ACH Debit,0,"9,598.00","19,196.00",Total,,244,100.00%,"37,489",100.00%
Debit Card,0,0,0
Charge Card,267.07,"17,429.28","34,709.92",Waiting List,1,Autobilled**,,140
SubTotal,267.07,"27,027.28","53,905.92",Overlocked**,3,Insurance**,,0,Per Area
Misc Deposit,0,0,0,Gross Potential Rates,1,,"36,999",100.00%,,0.99
Total,267.07,"27,027.28","53,905.92",Gross Unrentable Unit Rates,,,570,1.50%,,0.93
Payment Receipts,,,,Gross Vacant Unit Rates,,,"9,180",24.80%,,0.99
,,,,Gross Occupied Unit Rates,,,"27,249",73.60%,,0.99
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,0,0.00%,,0
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"26,002",70.30%,,0.94
Rent,200.43,"23,933.93","47,403.67",Occupied Rate Variance,,,"1,247",3.40%,,0.05
Recurring,26.46,"1,716.11","3,480.55",,,3
,,,,Effective Rate after Concessions,,,"24,449",66.10%,,0.89
Late Fee,0,165.45,521.3
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,25,325,625,Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,0,12,0-10,60,0,0,0.2,,0.2
Other,15.18,886.79,"1,863.40",11-30,"1,280.85",2,1.2,3.5,,4.9
Misc Deposit,0,0,0,31-60,694.15,2,1.2,1.9,,2.7
Security Deposit,0,0,0,61-90,367.75,0,0,1,,1.4
Merchandise,0,0,0,91-120,382.75,0,0,1,,1.5
Tax 1,0,0,0,121-180,535,1,0.6,1.4,,2.1
Tax 2,0,0,0,181-360,0,0,0,0,,0
Total,267.07,"27,027.28","53,905.92",>360,0,0,0,0,,0
,,,,Total,"3,320.50",5,3,9,,12.7
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,195,742.85
Current Rent,5.43,"23,191.08",,Rent,936,3,1.8,2.5,,3.6
Past Due Rent,0,0,,Other,"1,043.65"
,,,,Taxes,0
Total,200.43,"23,933.93"
,,,,Total,"1,979.65"
Current Late Fee,0,165.45,,Liabilities,,Units,Amount
Past Due Late Fee,0,0,,Prepaid Rent,,10,685
Total,0,165.45,,Prepaid Insurance,,0,0
,,,,Prepaid Recurring Charges,,8,78
NSF Reversals,0,0,0,Security Deposits (Cash),,2,"10,000.00"
,0,58,58
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,146,,,< 0%,59
Rent,0,93.29,184.79,6 - 12 Months,22,,,0 - 15%,68
Rent (Bad Debt),0,0,0,12 - 18 Months,0,,,15 - 30%,14
Late Fees,0,0,30,18 - 24 Months,0,,,30 - 50%,21
Taxes,0,0,0,> 24 Months,0,,,> 50%,6
Other,0,176.86,390.86,Total,168,,,Total,168
Total,0,270.15,605.65
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0,"1,459.50","2,909.00",Standard rates unchanged > 360 days,,,0,Occupied,168
Rent (Non-Expiring),0,0,77.5,Tenants rates unchanged > 360 days,,,0,Insurance,0,0%
,,,,Days with payments and no daily close,,,0,ACH Billed,4,2%
Bad Debts,0,"1,187.00","6,083.00",Backdated payments,,,0
,,,,,,,,Credit Card,111,66%
Activity,,,,Backdated charges,,,1,Paid Online,32,19%
,,,,Deleted payments,,,1
Move-Ins,1,14,30
Insurance,0,0,0,Deleted charges,,,27
Move-Outs,0,11,30,Deleted units,,,0,Insurance
Transfers,0,0,0,Unit size changes,,,0,Premiums,,0
Rented Area Increase,160,280,145,Program defaults changes,,,1,Coverage,,0
Collection Notes,0,63,121,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,2,10,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,5,12,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,0,5,12,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,1,4,4,,- Expiring Discounts
Leads Converted,1,14,29,,(4) Leads Converted is a count of unique tenant move-ins
