,,,,"Printed on Tuesday, April 1, 2025 10:12:20AM",,,,,1/ 1
Management Summary
"Monday, March 31, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,"As of Monday, March 31, 2025"
From,Mar-31-2025,Mar-01-2025,Jan-01-2025,Occupancy,Units,%Units,Area,%Area,%Area
To,Mar-31-2025,Mar-31-2025,Mar-31-2025,Occupied,175,71.70%,"28,453",75.90%,75.90%
Deposits,,,,Vacant*,64,26.20%,"8,427",23,22.5,%
Cash,"2,550.00","2,550.00","2,550.00",Unrentable,5,2.00%,610,1.6,1.6,%
Check,0,0,0,Complimentary,0,,0
ACH Debit,0,"9,623.00","28,819.00",Total,244,100.00%,"37,489",100.00%,100.00%
Debit Card,0,0,0
Charge Card,211.02,"19,099.17","53,809.09",Waiting List,4,Autobilled**,,144
SubTotal,"2,761.02","31,272.17","85,178.09",Overlocked**,8,Insurance**,,0,Per Area
Misc Deposit,0,0,0,Gross Potential Rates,1,,"37,059",100.00%,,0.99
Total,"2,761.02","31,272.17","85,178.09",Gross Unrentable Unit Rates,,,570,1.50%,,0.93
Payment Receipts,,,,Gross Vacant Unit Rates,,,"8,170",22.00%,,0.97
,,,,Gross Occupied Unit Rates,,,"28,319",76.40%,,1
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,0,0.00%,,0
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"27,523",74.30%,,0.97
Rent,761.52,"25,908.62","73,312.29",Occupied Rate Variance,,,796,2.10%,,0.03
Recurring,91,"1,714.17","5,194.72",,,3
,,,,Effective Rate after Concessions,,,"26,173",70.60%,,0.92
Late Fee,768.4,"1,285.40","1,806.70"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,25,350,975.00,Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,0,12,0-10,120.00,0,0,0.3,,0.4
Other,"1,115.10","2,013.98","3,877.38",11-30,"1,081.30",4,2.3,2.9,,3.9
Misc Deposit,0,0,0,31-60,538.65,1,0.6,1.5,,2
Security Deposit,0,0,0,61-90,420.65,0,0,1.1,,1.5
Merchandise,0,0,0,91-120,367.75,0,0,1,,1.3
Tax 1,0,0,0,121-180,597.5,0,0,1.6,,2.2
Tax 2,0,0,0,181-360,320.25,1,0.6,0.9,,1.2
Total,"2,761.02","31,272.17","85,178.09",>360,0,0,0,0,,0
,,,,Total,"3,446.10",6,3.4,9.3,,12.5
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,164.5,761.33
Current Rent,226.52,"24,680.79",,Rent,"1,054.50",2,1.1,2.8,,3.8
Past Due Rent,370.5,466.5,,Other,"1,190.30"
,,,,Taxes,0
Total,761.52,"25,908.62"
,,,,Total,"2,244.80"
Current Late Fee,354.2,856.2,,Liabilities,,Units,Amount
Past Due Late Fee,414.2,429.2,,Prepaid Rent,,8,733.5
Total,768.4,"1,285.40",,Prepaid Insurance,,0,0
,,,,Prepaid Recurring Charges,,6,69
NSF Reversals,0,0,0,Security Deposits (Cash),,2,"10,000.00"
,0,0,58
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,153,,,< 0%,67
Rent,0,25,209.79,6 - 12 Months,21,,,0 - 15%,71
Rent (Bad Debt),0,0,0,12 - 18 Months,1,,,15 - 30%,12
Late Fees,0,30.6,60.6,18 - 24 Months,0,,,30 - 50%,19
Taxes,0,0,0,> 24 Months,0,,,> 50%,6
Other,0,51,441.86,Total,175,,,Total,175
Total,0,106.6,712.25
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0,"1,325.00","4,234.00",Standard rates unchanged > 360 days,,,5,Occupied,175
Rent (Non-Expiring),0,6,83.5,Tenants rates unchanged > 360 days,,,0,Insurance,0,0%
,,,,Days with payments and no daily close,,,0,ACH Billed,4,2%
Bad Debts,0,0,"6,083.00",Backdated payments,,,0
,,,,,,,,Credit Card,100,57%
Activity,,,,Backdated charges,,,0,Paid Online,37,21%
,,,,Deleted payments,,,0
Move-Ins,2,14,44
Insurance,0,0,0,Deleted charges,,,0
Move-Outs,3,7,37,Deleted units,,,0,Insurance
Transfers,1,1,1,Unit size changes,,,0,Premiums,,0
Rented Area Increase,-50,830,975,Program defaults changes,,,0,Coverage,,0
Collection Notes,4,79,200,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,1,11,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,4,16,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,1,8,20,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,1,7,11,,- Expiring Discounts
Leads Converted,2,13,42,,(4) Leads Converted is a count of unique tenant move-ins
