
,,,,"Printed on Friday, August 1, 2025",,9:30:31 AM,,,1/ 1
Management Summary
"Thursday, July 31, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,,"As of Thursday, July 31, 2025"
From,Jul-31-2025,Jul-01-2025,Jan-01-2025,Occupancy,,Units,%Units,Area,%Area
To,Jul-31-2025,Jul-31-2025,Jul-31-2025,Occupied,,199,72.90%,"31,399",79.10%
Deposits,,,,Vacant*,,69,25.30%,"7,915",19.9,%
Cash,0,0,"4,150.00",Unrentable,,5,1.80%,390,1,%
Check,0,0,0,Complimentary,,0,,0
ACH Debit,0,"9,718.50","67,693.00",Total,,273,100.00%,"39,704",100.00%
Debit Card,0,0,0
Charge Card,734.06,"21,393.58",#######,Waiting List,3,Autobilled**,,166
SubTotal,734.06,"31,112.08",#######,Overlocked**,0,Insurance**,,0,Per Area
Misc Deposit,0,0,0,Gross Potential Rates,1,,,"35,840",100.00%,,0.9
Total,734.06,"31,112.08",#######,Gross Unrentable Unit Rates,,,,318,0.90%,,0.82
Payment Receipts,,,,Gross Vacant Unit Rates,,,,"7,037",19.60%,,0.89
,,,,Gross Occupied Unit Rates,,,,"28,485",79.50%,,0.91
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,,0,0.00%,,0
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,,"30,564",85.30%,,0.97
Rent,580.42,"27,326.02",#######,Occupied Rate Variance,,,,"-2,079",-5.80%,,-0.07
Recurring,73.48,"1,915.53","12,220.04",,,3
,,,,Effective Rate after Concessions,,,,"27,606",77.00%,,0.88
Late Fee,0,288.1,"3,142.30"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,50,625,"3,100.00",Days,Amount,Units,%Units,%GrossPot,,%Actual
Insurance,0,0,12,0-10,30.00,0,0,,0.1,,0.1
Other,30.16,957.43,"7,668.63",11-30,"1,196.50",3,1.5,,3.3,,3.9
Misc Deposit,0,0,0,31-60,566.5,3,1.5,,1.6,,1.9
Security Deposit,0,0,0,61-90,0,0,0,,0,,0
Merchandise,0,0,0,91-120,0,0,0,,0,,0
Tax 1,0,0,0,121-180,0,0,0,,0,,0
Tax 2,0,0,0,181-360,0,0,0,,0,,0
Total,734.06,"31,112.08",#######,>360,0,0,0,,0,,0
,,,,Total,"1,793.00",6,3,,5,,5.9
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,578,"1,189.28"
Current Rent,2.42,"26,072.69",,Rent,325,3,1.5,,0.9,,1.1
Past Due Rent,0,64.05,,Other,241.5
,,,,Taxes,0
Total,580.42,"27,326.02"
,,,,Total,566.50
Current Late Fee,0,98.1,,Liabilities,,Units,,Amount
Past Due Late Fee,0,190,,Prepaid Rent,,12,,"1,055.50"
Total,0,288.1,,Prepaid Insurance,,0,,0
,,,,Prepaid Recurring Charges,,10,,125
NSF Reversals,0,0,0,Security Deposits (Cash),,2,,"10,000.00"
,0,0,411.14
,,,,Rent Last Change,Units,,,Rent Variances,,Units
Concessions,(Credits Issued),,,0 - 6 Months,145,,,,< 0%,118
Rent,0,260,770.57,6 - 12 Months,50,,,,0 - 15%,62
Rent (Bad Debt),0,0,0,12 - 18 Months,4,,,,15 - 30%,16
Late Fees,0,96.3,342.15,18 - 24 Months,0,,,,30 - 50%,2
Taxes,0,0,0,> 24 Months,0,,,,> 50%,1
Other,0,23,679.15,Total,199,,,,Total,199
Total,0,379.3,"1,791.87"
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0.00,"2,697.84","14,550.01",Standard rates unchanged > 360 days,,,13,Occupied,,199
Rent (Non-Expiring),0,0,108.5,Tenants rates unchanged > 360 days,,,4,Insurance,,0,0%
,,,,Days with payments and no daily close,,,0,ACH Billed,,4,2%
Bad Debts,0,"1,543.00","15,445.99",Backdated payments,,,0
,,,,,,,,Credit Card,,123,62%
Activity,,,,Backdated charges,,,0,Paid Online,,45,23%
,,,,Deleted payments,,,0
Move-Ins,1,22,128
Insurance,0,0,0,Deleted charges,,,9
Move-Outs,0,10,97,Deleted units,,,0,Insurance
Transfers,0,5,9,Unit size changes,,,8,Premiums,,,0
Rented Area Increase,100,"1,043","3,923",Program defaults changes,,,0,Coverage,,,0
Collection Notes,0,18,368,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,6,22,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,2,4,25,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,0,14,73,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,0,9,41,,- Expiring Discounts
Leads Converted,1,22,120,,(4) Leads Converted is a count of unique tenant move-ins
Leads Converted,2,2,100,,(4) Leads Converted is a count of unique tenant move-ins
