
#N/A

,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,MOUNT HOLLY MTD STATS
,6,Total Units Available,306,306,306,306,306,306,306,306,306,306,306,306,,Performance as of :,12/22/2025
,,Total Units Rented,171,168,175,181,190,190,199,213,,220,226,224,,Total Units Rented,226
,11,Total Vacant Units,68,71,64,55,79,79,69,57,,61,54,56,,Total Unit Occupancy %,74%
,9,Total Unit Occupancy %,56%,55%,57%,59%,62%,62%,65%,70%,0%,72%,74%,74%,,Move Ins,20
,34,Total Unrentables,5,5,2.00%,7,4,4,5,3,,3,54,54,,Move Outs,14
,,Total Occupancy Sq Ft %,74%,74%,74%,80%,77%,78%,,,60%,61%,64%,62%,,Net Moves,6
,10,Move Ins,16,14,14,22,22,18,22,28,23,13,20,4
,12,Move Outs,13,11,7,16,11,17,10,11,17,9,14,5,,Revenue,"$28,212"
,,Net Moves,3,3,7,6,11,1,12,17,6,4,6,-1,,Previous month,"$31,395"
,21,,,,,,,,,,Total Units: 0 ,,,,,Remaining amount to beat last month,"$3,184"
,33,Unit Rent Total,"$23,470","$23,934","$24,681","$26,692","$26,293","$27,996","$27,326 ","$28,904 ","$30,008 ","$20,734","$23,791","$22,442"
,,Rent per sq.ft.,$0.91 ,$0.94 ,$0.99 ,$0.99 ,$0.97,$1.00 ,,,$0.89 ,$0.89 ,$0.89 ,$0.89 
,,Total Revenue,"$26,879","$27,027","$31,272","$29,924","$29,455","$32,094","$31,112 ","$33,095 ","$15,731.18 ","$31,395","$28,212","$26,134"
,,Discounts/Credits/Waived Fees,"$4,573 ","$2,647 ","$1,325 ","$2,589 ","$3,273","$3,800","$2,698 ","$2,163 ","$3,075 ",$541 ,$552 ,$530 
,,Receipts Collected,"$26,879","$27,027","$31,272","$29,924","$29,455","$32,094","$31,112 ","$33,095 ","$25,431 ","$31,395","$28,212","$26,134"
,28
,33,Tenant Insurance Penetration %,7%,0%,,0%,0%,,0%,,0%, ,0%,0%
,20,AutoPay Penetration %,85%,83%,0%,0%,84%,0%,0%,0%, ,0%,0%,0%
,,A/R % of Units Past Due,4%,3%,0%,6%,6%,0%,0%,2%, ,0%,0%,0%
