,,,,"Printed on   Wednesday, January 1, 2025",,,6:59:02 AM,,1/ 1
Management Summary
"Tuesday, December 31, 2024"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC  28120"
,Daily,Month-To-Date,Fiscal YTD,,,"As of Tuesday, December 31, 2024"
From,Dec-31-2024,Dec-01-2024,Jan-01-2024,Occupancy,,Units,%Units,Area,%Area
To,Dec-31-2024,Dec-31-2024,Dec-31-2024,Occupied,,164,67.20%,"27,168",72.50%
Deposits,,,,Vacant*,,78,32.00%,"10,192",27.2,%
Cash,0,0,0,Unrentable,,2,0.80%,130,0.3,%
Check,0,0,0,Complimentary,,0,,0
ACH Debit,0,"9,598.00","62,321.80",Total,,244,100.00%,"37,489",100.00%
Debit Card,0,0,0
Charge Card,0,"16,225.49","88,183.43",Waiting List,4,Autobilled**,,141
SubTotal,0,"25,823.49","150,505.23",Overlocked**,5,Insurance**,,1,Per Area
Misc Deposit,0,0,0,Gross Potential Rates,1,,"35,181",100.00%,0.94
Total,0,"25,823.49","150,505.23",Gross Unrentable Unit Rates,,,135,0.40%,1.04
Payment Receipts,,,,Gross Vacant Unit Rates,,,"9,732",27.70%,0.95
,,,,Gross Occupied Unit Rates,,,"25,314",72.00%,0.93
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,0,0.00%,0
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"24,076",68.40%,0.89
Rent,0,"22,390.16","120,175.12",Occupied Rate Variance,,,"1,238",3.50%,0.05
Recurring,0,"1,625.88","5,947.35",,,3
,,,,Effective Rate after Concessions,,,"22,114",62.90%,0.81
Late Fee,0,500,"1,599.25"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,0,400,"5,200.00",Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,12,"2,742.77",0-10,60.00,0,0,0.2,,0.2
Other,0,895.45,"4,840.74",11-30,"1,817.75",3,1.8,5.2,,7.6
Misc Deposit,0,0,0,31-60,"1,498.75",1,0.6,4.3,,6.2
Security Deposit,0,0,"10,000.00",61-90,684.75,0,0,1.9,,2.8
Merchandise,0,0,0,91-120,491.75,2,1.2,1.4,,2
Tax 1,0,0,0,121-180,375.5,2,1.2,1.1,,1.6
Tax 2,0,0,0,181-360,159,1,0.6,0.5,,0.7
Total,0,"25,823.49","150,505.23",>360,0,0,0,0,,0
,,,,Total,"5,087.50",9,5.4,14.4,21.1
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,$0.00,876.05
Current Rent,$0.00,"21,185.11",,Rent,"1,111.50",6,3.7,3.2,4.6
Past Due Rent,$0.00,329,,Other,"2,098.25"
,,,,Taxes,0
Total,$0.00,"22,390.16"
,,,,Total,"3,209.75"
Current Late Fee,0,265,,Liabilities,,Units,Amount
Past Due Late Fee,0,235,,Prepaid Rent,,9,834.5
Total,0,500,,Prepaid Insurance,,0,0
,,,,Prepaid Recurring Charges,,6,43
NSF Reversals,0,0,0,Security Deposits (Cash),,2,"10,000.00"
,0,0,734.5
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,132,,,< 0%,37
Rent,0,145.82,"4,250.29",6 - 12 Months,32,,,0 - 15%,100
Rent (Bad Debt),0,0,0,12 - 18 Months,0,,,15 - 30%,4
Late Fees,0,42.9,"1,846.75",18 - 24 Months,0,,,30 - 50%,16
Taxes,0,0,0,> 24 Months,0,,,> 50%,7
Other,0,69.55,"1,504.69",Total,164,,,Total,164
Total,0,258.27,"7,601.73"
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0,"1,816.00","21,529.00",Standard rates unchanged > 360 days,,,0,Occupied,164
Rent (Non-Expiring),0,16,254.82,Tenants rates unchanged > 360 days,,,0,Insurance,1,1%
,,,,Days with payments and no daily close,,,0,ACH Billed,4,2%
Bad Debts,103,694.13,"1,066.39",Backdated payments,,,0
,,,,,,,,Credit Card,97,59%
Activity,,,,Backdated charges,,,0,Paid Online,34,21%
,,,,Deleted payments,,,2
Move-Ins,0,18,228
Insurance,0,0,87,Deleted charges,,,13
Move-Outs,9,15,63,Deleted units,,,0,Insurance
Transfers,0,1,30,Unit size changes,,,7,Premiums,,12
Rented Area Increase,-800,650,"27,168",Program defaults changes,,,7,Coverage,,"2,500.00"
Collection Notes,0,42,142,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,1,99,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,6,103,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,0,11,125,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,0,0,5,,- Expiring Discounts
Leads Converted,0,17,187,,(4) Leads Converted is a count of unique tenant move-ins
